ticker,year,roe,lucro_liquido,margem_liquida,receita_liquida,divida_liquida,ebitda,divida_ebitda,market_cap,p_l,cagr_lucro
ASAI3,2020,110.3546,1.556E+9,4.3171,3.6043E+10,1.7682E+10,,,,,
ASAI3,2021,58.2068,1.61E+9,3.8427,4.1898E+10,1.7567E+10,,,,,
ASAI3,2022,31.3142,1.22E+9,2.2377,5.452E+10,2.77E+10,,,,,
ASAI3,2023,15.3348,7.1E+8,1.0676,6.6503E+10,3.4093E+10,,,,,
ASAI3,2024,14.6337,7.69E+8,1.0417,7.3819E+10,3.7146E+10,,,,,-6.217
ATED3,2024,1.9009,4.59E+5,1.3357,3.4365E+7,-1.658E+6,,,,,
AUAU3,2023,6.6389,5.874E+7,2.2743,2.582827E+9,5.014887E+9,,,,,
AUAU3,2024,11.8178,1.16793E+8,4.2657,2.737927E+9,1.508697E+9,,,,,
AUAU99,2023,6.6389,5.874E+7,2.2743,2.582827E+9,5.014887E+9,,,,,
AUAU99,2024,11.8178,1.16793E+8,4.2657,2.737927E+9,1.508697E+9,,,,,
AURE3,2021,3.4449,3.11646E+8,11.8762,2.624114E+9,8.436336E+9,,,,,
AURE3,2022,17.5611,2.678614E+9,48.5634,5.515706E+9,9.313413E+9,,,,,
AURE3,2023,-2.5684,-3.17689E+8,-5.139,6.18189E+9,1.0420298E+10,,,,,
AURE3,2024,1.8771,2.71869E+8,3.3731,8.059951E+9,6.4131291E+10,,,,,
AVLL11,2019,-153.1077,-8.23237E+8,-501.3624,1.642E+8,3.043169E+9,,,,,
AVLL11,2020,-105.8214,-4.19765E+8,-232.9414,1.80202E+8,2.196577E+9,,,,,
AVLL11,2021,-2982.9478,-3.81698E+8,-167.4841,2.27901E+8,2.137833E+9,,,,,
AVLL11,2022,104.6504,-4.10715E+8,-154.9085,2.65134E+8,2.579317E+9,,,,,
AVLL11,2023,75.2812,-5.80969E+8,-122.4593,4.74418E+8,4.76076E+9,,,,,
AVLL11,2024,-267.8045,8.5202E+7,12.5513,6.78829E+8,2.043913E+9,,,,,
